relative_altitude_ft,vertical_rate_ft_s,tau_sec,previous_advisory,optimal_advisory
-700,29.1666666666667,16,0,RIGHT
-700,29.1666666666667,16,1,COC
-700,29.1666666666667,16,2,RIGHT
-700,29.1666666666667,17,0,RIGHT
-700,29.1666666666667,17,1,COC
-700,29.1666666666667,17,2,RIGHT
-700,29.1666666666667,18,0,RIGHT
-700,29.1666666666667,18,1,COC
-700,29.1666666666667,18,2,RIGHT
-700,29.1666666666667,19,0,RIGHT
-700,29.1666666666667,19,1,COC
-700,29.1666666666667,19,2,RIGHT
-700,29.1666666666667,20,0,RIGHT
-700,29.1666666666667,20,1,COC
-700,29.1666666666667,20,2,RIGHT
-700,29.1666666666667,21,0,RIGHT
-700,29.1666666666667,21,1,COC
-700,29.1666666666667,21,2,RIGHT
-700,29.1666666666667,22,0,RIGHT
-700,29.1666666666667,22,1,COC
-700,29.1666666666667,22,2,RIGHT
-700,29.1666666666667,23,0,RIGHT
-700,29.1666666666667,23,1,COC
-700,29.1666666666667,23,2,RIGHT
-700,29.1666666666667,24,0,RIGHT
-700,29.1666666666667,24,1,COC
-700,29.1666666666667,24,2,RIGHT
-700,29.1666666666667,25,0,COC
-700,29.1666666666667,25,1,COC
-700,29.1666666666667,25,2,RIGHT
-700,29.1666666666667,26,0,COC
-700,29.1666666666667,26,1,COC
-700,29.1666666666667,26,2,RIGHT
-700,29.1666666666667,27,0,COC
-700,29.1666666666667,27,1,COC
-700,29.1666666666667,27,2,RIGHT
-700,29.1666666666667,28,0,COC
-700,29.1666666666667,28,1,COC
-700,29.1666666666667,28,2,RIGHT
-700,29.1666666666667,29,0,COC
-700,29.1666666666667,29,1,COC
-700,29.1666666666667,29,2,RIGHT
-700,29.1666666666667,30,0,COC
-700,29.1666666666667,30,1,COC
-700,29.1666666666667,30,2,RIGHT
-700,29.1666666666667,31,0,COC
-700,29.1666666666667,31,1,COC
-700,29.1666666666667,31,2,RIGHT
-700,29.1666666666667,32,0,COC
-700,29.1666666666667,32,1,COC
-700,29.1666666666667,32,2,RIGHT
-700,29.1666666666667,33,0,COC
-700,29.1666666666667,33,1,COC
-700,29.1666666666667,33,2,RIGHT
-700,29.1666666666667,34,0,COC
-700,29.1666666666667,34,1,COC
-700,29.1666666666667,34,2,RIGHT
-700,29.1666666666667,35,0,COC
-700,29.1666666666667,35,1,COC
-700,29.1666666666667,35,2,RIGHT
-700,29.1666666666667,36,0,COC
-700,29.1666666666667,36,1,COC
-700,29.1666666666667,36,2,RIGHT
-700,29.1666666666667,37,0,COC
-700,29.1666666666667,37,1,COC
-700,29.1666666666667,37,2,RIGHT
-700,29.1666666666667,38,0,COC
-700,29.1666666666667,38,1,COC
-700,29.1666666666667,38,2,RIGHT
-700,29.1666666666667,39,0,COC
-700,29.1666666666667,39,1,COC
-700,29.1666666666667,39,2,RIGHT
-700,29.1666666666667,40,0,COC
-700,29.1666666666667,40,1,COC
-700,29.1666666666667,40,2,RIGHT
-700,33.3333333333333,0,0,COC
-700,33.3333333333333,0,1,COC
-700,33.3333333333333,0,2,COC
-700,33.3333333333333,1,0,COC
-700,33.3333333333333,1,1,COC
-700,33.3333333333333,1,2,COC
-700,33.3333333333333,2,0,COC
-700,33.3333333333333,2,1,COC
-700,33.3333333333333,2,2,COC
-700,33.3333333333333,3,0,COC
